date,nav,scheme_name,scheme_code
01-06-2026,246.9814,Kotak_Bluechip,120841
29-05-2026,248.6673,Kotak_Bluechip,120841
27-05-2026,251.2273,Kotak_Bluechip,120841
26-05-2026,251.2702,Kotak_Bluechip,120841
25-05-2026,249.2266,Kotak_Bluechip,120841
22-05-2026,247.8039,Kotak_Bluechip,120841
21-05-2026,248.8853,Kotak_Bluechip,120841
20-05-2026,244.7199,Kotak_Bluechip,120841
19-05-2026,241.6771,Kotak_Bluechip,120841
18-05-2026,241.2615,Kotak_Bluechip,120841
15-05-2026,242.0952,Kotak_Bluechip,120841
14-05-2026,243.5314,Kotak_Bluechip,120841
13-05-2026,240.0746,Kotak_Bluechip,120841
12-05-2026,238.1528,Kotak_Bluechip,120841
11-05-2026,242.7219,Kotak_Bluechip,120841
08-05-2026,244.6201,Kotak_Bluechip,120841
07-05-2026,245.6055,Kotak_Bluechip,120841
06-05-2026,245.3878,Kotak_Bluechip,120841
05-05-2026,242.9594,Kotak_Bluechip,120841
04-05-2026,242.7655,Kotak_Bluechip,120841
30-04-2026,240.5353,Kotak_Bluechip,120841
29-04-2026,242.345,Kotak_Bluechip,120841
28-04-2026,242.6241,Kotak_Bluechip,120841
27-04-2026,241.2517,Kotak_Bluechip,120841
24-04-2026,238.1456,Kotak_Bluechip,120841
23-04-2026,239.7583,Kotak_Bluechip,120841
22-04-2026,238.5702,Kotak_Bluechip,120841
21-04-2026,236.4598,Kotak_Bluechip,120841
20-04-2026,235.1961,Kotak_Bluechip,120841
17-04-2026,236.2133,Kotak_Bluechip,120841
16-04-2026,233.318,Kotak_Bluechip,120841
15-04-2026,231.5434,Kotak_Bluechip,120841
13-04-2026,226.9809,Kotak_Bluechip,120841
10-04-2026,228.6993,Kotak_Bluechip,120841
09-04-2026,224.6235,Kotak_Bluechip,120841
08-04-2026,224.5909,Kotak_Bluechip,120841
07-04-2026,217.9604,Kotak_Bluechip,120841
06-04-2026,217.6413,Kotak_Bluechip,120841
02-04-2026,216.2795,Kotak_Bluechip,120841
01-04-2026,216.7627,Kotak_Bluechip,120841
31-03-2026,212.3571,Kotak_Bluechip,120841
30-03-2026,212.3561,Kotak_Bluechip,120841
27-03-2026,215.979,Kotak_Bluechip,120841
25-03-2026,218.6866,Kotak_Bluechip,120841
24-03-2026,214.9164,Kotak_Bluechip,120841
23-03-2026,210.115,Kotak_Bluechip,120841
20-03-2026,215.8819,Kotak_Bluechip,120841
19-03-2026,214.0899,Kotak_Bluechip,120841
18-03-2026,219.4077,Kotak_Bluechip,120841
17-03-2026,215.8723,Kotak_Bluechip,120841
16-03-2026,213.4091,Kotak_Bluechip,120841
13-03-2026,212.7884,Kotak_Bluechip,120841
12-03-2026,216.8313,Kotak_Bluechip,120841
11-03-2026,217.2638,Kotak_Bluechip,120841
10-03-2026,217.2151,Kotak_Bluechip,120841
09-03-2026,213.7211,Kotak_Bluechip,120841
06-03-2026,215.1244,Kotak_Bluechip,120841
05-03-2026,216.0433,Kotak_Bluechip,120841
04-03-2026,213.8632,Kotak_Bluechip,120841
02-03-2026,217.4449,Kotak_Bluechip,120841
27-02-2026,221.2108,Kotak_Bluechip,120841
26-02-2026,223.828,Kotak_Bluechip,120841
25-02-2026,222.6482,Kotak_Bluechip,120841
24-02-2026,220.5605,Kotak_Bluechip,120841
23-02-2026,221.7051,Kotak_Bluechip,120841
20-02-2026,221.3408,Kotak_Bluechip,120841
19-02-2026,220.4132,Kotak_Bluechip,120841
18-02-2026,223.2608,Kotak_Bluechip,120841
17-02-2026,222.9773,Kotak_Bluechip,120841
16-02-2026,222.4954,Kotak_Bluechip,120841
13-02-2026,222.5748,Kotak_Bluechip,120841
12-02-2026,225.4245,Kotak_Bluechip,120841
11-02-2026,225.6929,Kotak_Bluechip,120841
10-02-2026,225.1996,Kotak_Bluechip,120841
09-02-2026,224.5198,Kotak_Bluechip,120841
06-02-2026,221.7398,Kotak_Bluechip,120841
05-02-2026,220.8275,Kotak_Bluechip,120841
04-02-2026,220.8543,Kotak_Bluechip,120841
03-02-2026,220.1536,Kotak_Bluechip,120841
02-02-2026,215.3687,Kotak_Bluechip,120841
30-01-2026,217.3627,Kotak_Bluechip,120841
29-01-2026,215.8206,Kotak_Bluechip,120841
28-01-2026,216.5481,Kotak_Bluechip,120841
27-01-2026,214.5324,Kotak_Bluechip,120841
23-01-2026,214.913,Kotak_Bluechip,120841
22-01-2026,218.2378,Kotak_Bluechip,120841
21-01-2026,216.4631,Kotak_Bluechip,120841
20-01-2026,220.3003,Kotak_Bluechip,120841
19-01-2026,224.6687,Kotak_Bluechip,120841
16-01-2026,224.9528,Kotak_Bluechip,120841
14-01-2026,225.3953,Kotak_Bluechip,120841
13-01-2026,225.4815,Kotak_Bluechip,120841
12-01-2026,226.2587,Kotak_Bluechip,120841
09-01-2026,227.0265,Kotak_Bluechip,120841
08-01-2026,229.2263,Kotak_Bluechip,120841
07-01-2026,233.3132,Kotak_Bluechip,120841
06-01-2026,233.0409,Kotak_Bluechip,120841
05-01-2026,234.5069,Kotak_Bluechip,120841
02-01-2026,236.4132,Kotak_Bluechip,120841
01-01-2026,235.259,Kotak_Bluechip,120841
31-12-2025,235.5063,Kotak_Bluechip,120841
30-12-2025,234.3754,Kotak_Bluechip,120841
29-12-2025,235.9854,Kotak_Bluechip,120841
26-12-2025,236.9848,Kotak_Bluechip,120841
24-12-2025,237.653,Kotak_Bluechip,120841
23-12-2025,238.7629,Kotak_Bluechip,120841
22-12-2025,238.0447,Kotak_Bluechip,120841
19-12-2025,236.9631,Kotak_Bluechip,120841
18-12-2025,234.7045,Kotak_Bluechip,120841
17-12-2025,234.3133,Kotak_Bluechip,120841
16-12-2025,235.7084,Kotak_Bluechip,120841
15-12-2025,238.3773,Kotak_Bluechip,120841
12-12-2025,238.1125,Kotak_Bluechip,120841
11-12-2025,236.1615,Kotak_Bluechip,120841
10-12-2025,234.2746,Kotak_Bluechip,120841
09-12-2025,234.7247,Kotak_Bluechip,120841
08-12-2025,234.3084,Kotak_Bluechip,120841
05-12-2025,238.011,Kotak_Bluechip,120841
04-12-2025,238.0141,Kotak_Bluechip,120841
03-12-2025,238.6028,Kotak_Bluechip,120841
02-12-2025,239.2874,Kotak_Bluechip,120841
01-12-2025,240.1195,Kotak_Bluechip,120841
28-11-2025,240.0428,Kotak_Bluechip,120841
27-11-2025,240.9565,Kotak_Bluechip,120841
26-11-2025,240.6092,Kotak_Bluechip,120841
25-11-2025,237.4439,Kotak_Bluechip,120841
24-11-2025,238.0858,Kotak_Bluechip,120841
21-11-2025,240.214,Kotak_Bluechip,120841
20-11-2025,242.1044,Kotak_Bluechip,120841
19-11-2025,241.8587,Kotak_Bluechip,120841
18-11-2025,241.3464,Kotak_Bluechip,120841
17-11-2025,242.3625,Kotak_Bluechip,120841
14-11-2025,240.1422,Kotak_Bluechip,120841
13-11-2025,240.6851,Kotak_Bluechip,120841
12-11-2025,240.8333,Kotak_Bluechip,120841
11-11-2025,239.2695,Kotak_Bluechip,120841
10-11-2025,239.0148,Kotak_Bluechip,120841
07-11-2025,238.5395,Kotak_Bluechip,120841
06-11-2025,238.3367,Kotak_Bluechip,120841
04-11-2025,241.3991,Kotak_Bluechip,120841
03-11-2025,242.436,Kotak_Bluechip,120841
31-10-2025,241.241,Kotak_Bluechip,120841
30-10-2025,241.5912,Kotak_Bluechip,120841
29-10-2025,242.1269,Kotak_Bluechip,120841
28-10-2025,240.5906,Kotak_Bluechip,120841
27-10-2025,241.1116,Kotak_Bluechip,120841
24-10-2025,238.5586,Kotak_Bluechip,120841
23-10-2025,238.1741,Kotak_Bluechip,120841
20-10-2025,238.5658,Kotak_Bluechip,120841
17-10-2025,237.9585,Kotak_Bluechip,120841
16-10-2025,239.7386,Kotak_Bluechip,120841
15-10-2025,238.4586,Kotak_Bluechip,120841
14-10-2025,236.6668,Kotak_Bluechip,120841
13-10-2025,237.2262,Kotak_Bluechip,120841
10-10-2025,238.7569,Kotak_Bluechip,120841
09-10-2025,235.938,Kotak_Bluechip,120841
08-10-2025,232.7811,Kotak_Bluechip,120841
07-10-2025,233.9591,Kotak_Bluechip,120841
06-10-2025,233.8185,Kotak_Bluechip,120841
