date,nav,scheme_name,scheme_code
01-06-2026,104.7025,SBI_Bluechip,119551
29-05-2026,104.657,SBI_Bluechip,119551
27-05-2026,104.5833,SBI_Bluechip,119551
26-05-2026,104.5269,SBI_Bluechip,119551
25-05-2026,104.5215,SBI_Bluechip,119551
22-05-2026,104.3467,SBI_Bluechip,119551
21-05-2026,104.285,SBI_Bluechip,119551
20-05-2026,104.3826,SBI_Bluechip,119551
19-05-2026,104.4216,SBI_Bluechip,119551
18-05-2026,104.3791,SBI_Bluechip,119551
15-05-2026,104.5968,SBI_Bluechip,119551
14-05-2026,104.7318,SBI_Bluechip,119551
13-05-2026,104.7371,SBI_Bluechip,119551
12-05-2026,104.7585,SBI_Bluechip,119551
11-05-2026,104.8053,SBI_Bluechip,119551
08-05-2026,104.8696,SBI_Bluechip,119551
07-05-2026,104.8762,SBI_Bluechip,119551
06-05-2026,104.8043,SBI_Bluechip,119551
05-05-2026,104.6166,SBI_Bluechip,119551
04-05-2026,104.6544,SBI_Bluechip,119551
30-04-2026,104.5706,SBI_Bluechip,119551
29-04-2026,104.6594,SBI_Bluechip,119551
28-04-2026,104.7428,SBI_Bluechip,119551
27-04-2026,104.7771,SBI_Bluechip,119551
24-04-2026,104.7091,SBI_Bluechip,119551
23-04-2026,104.7652,SBI_Bluechip,119551
22-04-2026,104.8473,SBI_Bluechip,119551
21-04-2026,104.847,SBI_Bluechip,119551
20-04-2026,104.8369,SBI_Bluechip,119551
17-04-2026,104.7821,SBI_Bluechip,119551
16-04-2026,104.7959,SBI_Bluechip,119551
15-04-2026,104.7901,SBI_Bluechip,119551
13-04-2026,104.6113,SBI_Bluechip,119551
10-04-2026,104.5956,SBI_Bluechip,119551
09-04-2026,104.515,SBI_Bluechip,119551
08-04-2026,104.3919,SBI_Bluechip,119551
07-04-2026,103.9918,SBI_Bluechip,119551
06-04-2026,103.9142,SBI_Bluechip,119551
02-04-2026,103.8813,SBI_Bluechip,119551
31-03-2026,104.0116,SBI_Bluechip,119551
30-03-2026,103.9921,SBI_Bluechip,119551
27-03-2026,103.9102,SBI_Bluechip,119551
25-03-2026,103.9713,SBI_Bluechip,119551
24-03-2026,103.9816,SBI_Bluechip,119551
23-03-2026,110.6625,SBI_Bluechip,119551
20-03-2026,110.9352,SBI_Bluechip,119551
18-03-2026,110.9985,SBI_Bluechip,119551
17-03-2026,110.9316,SBI_Bluechip,119551
16-03-2026,110.9159,SBI_Bluechip,119551
13-03-2026,110.9287,SBI_Bluechip,119551
12-03-2026,110.9898,SBI_Bluechip,119551
11-03-2026,111.1072,SBI_Bluechip,119551
10-03-2026,111.0484,SBI_Bluechip,119551
09-03-2026,110.9193,SBI_Bluechip,119551
06-03-2026,111.0395,SBI_Bluechip,119551
05-03-2026,111.0534,SBI_Bluechip,119551
04-03-2026,110.9499,SBI_Bluechip,119551
02-03-2026,111.0653,SBI_Bluechip,119551
27-02-2026,111.0261,SBI_Bluechip,119551
26-02-2026,111.0069,SBI_Bluechip,119551
25-02-2026,110.9826,SBI_Bluechip,119551
24-02-2026,110.9394,SBI_Bluechip,119551
23-02-2026,110.8829,SBI_Bluechip,119551
20-02-2026,110.807,SBI_Bluechip,119551
18-02-2026,110.8613,SBI_Bluechip,119551
17-02-2026,110.8682,SBI_Bluechip,119551
16-02-2026,110.8409,SBI_Bluechip,119551
13-02-2026,110.7584,SBI_Bluechip,119551
12-02-2026,110.6309,SBI_Bluechip,119551
11-02-2026,110.5056,SBI_Bluechip,119551
10-02-2026,110.4293,SBI_Bluechip,119551
09-02-2026,110.4233,SBI_Bluechip,119551
06-02-2026,110.4173,SBI_Bluechip,119551
05-02-2026,110.5985,SBI_Bluechip,119551
04-02-2026,110.4477,SBI_Bluechip,119551
03-02-2026,110.296,SBI_Bluechip,119551
02-02-2026,110.1537,SBI_Bluechip,119551
30-01-2026,110.1903,SBI_Bluechip,119551
29-01-2026,110.0922,SBI_Bluechip,119551
28-01-2026,110.0855,SBI_Bluechip,119551
27-01-2026,110.1078,SBI_Bluechip,119551
23-01-2026,110.0766,SBI_Bluechip,119551
22-01-2026,110.0539,SBI_Bluechip,119551
21-01-2026,109.9438,SBI_Bluechip,119551
20-01-2026,109.9385,SBI_Bluechip,119551
19-01-2026,109.9742,SBI_Bluechip,119551
16-01-2026,110.0107,SBI_Bluechip,119551
14-01-2026,110.1286,SBI_Bluechip,119551
13-01-2026,110.1878,SBI_Bluechip,119551
12-01-2026,110.2974,SBI_Bluechip,119551
09-01-2026,110.2327,SBI_Bluechip,119551
08-01-2026,110.2218,SBI_Bluechip,119551
07-01-2026,110.2175,SBI_Bluechip,119551
06-01-2026,110.2647,SBI_Bluechip,119551
05-01-2026,110.2498,SBI_Bluechip,119551
02-01-2026,110.3333,SBI_Bluechip,119551
01-01-2026,110.3493,SBI_Bluechip,119551
31-12-2025,110.3212,SBI_Bluechip,119551
30-12-2025,110.2176,SBI_Bluechip,119551
29-12-2025,110.2799,SBI_Bluechip,119551
26-12-2025,110.2247,SBI_Bluechip,119551
24-12-2025,110.2079,SBI_Bluechip,119551
23-12-2025,109.9954,SBI_Bluechip,119551
22-12-2025,110.0241,SBI_Bluechip,119551
19-12-2025,110.0403,SBI_Bluechip,119551
18-12-2025,110.0195,SBI_Bluechip,119551
17-12-2025,110.0266,SBI_Bluechip,119551
16-12-2025,110.0261,SBI_Bluechip,119551
15-12-2025,109.9944,SBI_Bluechip,119551
12-12-2025,110.0652,SBI_Bluechip,119551
11-12-2025,110.0609,SBI_Bluechip,119551
10-12-2025,110.0466,SBI_Bluechip,119551
09-12-2025,110.1852,SBI_Bluechip,119551
08-12-2025,110.3299,SBI_Bluechip,119551
05-12-2025,110.3373,SBI_Bluechip,119551
04-12-2025,110.235,SBI_Bluechip,119551
03-12-2025,110.2362,SBI_Bluechip,119551
02-12-2025,110.2349,SBI_Bluechip,119551
01-12-2025,110.211,SBI_Bluechip,119551
28-11-2025,110.2615,SBI_Bluechip,119551
27-11-2025,110.2743,SBI_Bluechip,119551
26-11-2025,110.2658,SBI_Bluechip,119551
25-11-2025,110.1924,SBI_Bluechip,119551
24-11-2025,110.1322,SBI_Bluechip,119551
21-11-2025,110.0708,SBI_Bluechip,119551
20-11-2025,110.0882,SBI_Bluechip,119551
19-11-2025,110.0771,SBI_Bluechip,119551
18-11-2025,110.0205,SBI_Bluechip,119551
17-11-2025,109.9756,SBI_Bluechip,119551
14-11-2025,109.9725,SBI_Bluechip,119551
13-11-2025,109.9907,SBI_Bluechip,119551
12-11-2025,109.9947,SBI_Bluechip,119551
11-11-2025,109.961,SBI_Bluechip,119551
10-11-2025,109.925,SBI_Bluechip,119551
07-11-2025,109.8609,SBI_Bluechip,119551
06-11-2025,109.8337,SBI_Bluechip,119551
04-11-2025,109.7941,SBI_Bluechip,119551
03-11-2025,109.7548,SBI_Bluechip,119551
31-10-2025,109.6768,SBI_Bluechip,119551
30-10-2025,109.6521,SBI_Bluechip,119551
29-10-2025,109.6934,SBI_Bluechip,119551
28-10-2025,109.6404,SBI_Bluechip,119551
27-10-2025,109.6125,SBI_Bluechip,119551
24-10-2025,109.5673,SBI_Bluechip,119551
23-10-2025,109.5817,SBI_Bluechip,119551
20-10-2025,109.6155,SBI_Bluechip,119551
17-10-2025,109.5844,SBI_Bluechip,119551
16-10-2025,109.5131,SBI_Bluechip,119551
15-10-2025,109.4754,SBI_Bluechip,119551
14-10-2025,109.4088,SBI_Bluechip,119551
13-10-2025,109.3763,SBI_Bluechip,119551
10-10-2025,109.2852,SBI_Bluechip,119551
09-10-2025,109.2597,SBI_Bluechip,119551
08-10-2025,109.2524,SBI_Bluechip,119551
07-10-2025,109.2045,SBI_Bluechip,119551
06-10-2025,109.0926,SBI_Bluechip,119551
03-10-2025,108.9591,SBI_Bluechip,119551
01-10-2025,108.8285,SBI_Bluechip,119551
30-09-2025,108.7397,SBI_Bluechip,119551
26-09-2025,108.6702,SBI_Bluechip,119551
25-09-2025,108.617,SBI_Bluechip,119551
24-09-2025,108.5859,SBI_Bluechip,119551
23-09-2025,108.5708,SBI_Bluechip,119551
22-09-2025,108.5131,SBI_Bluechip,119551
19-09-2025,108.4428,SBI_Bluechip,119551
18-09-2025,108.4552,SBI_Bluechip,119551
17-09-2025,108.4538,SBI_Bluechip,119551
16-09-2025,108.3787,SBI_Bluechip,119551
15-09-2025,108.3802,SBI_Bluechip,119551
12-09-2025,108.4006,SBI_Bluechip,119551
11-09-2025,108.369,SBI_Bluechip,119551
10-09-2025,108.3574,SBI_Bluechip,119551
09-09-2025,108.3519,SBI_Bluechip,119551
05-09-2025,108.245,SBI_Bluechip,119551
04-09-2025,108.1379,SBI_Bluechip,119551
03-09-2025,108.0471,SBI_Bluechip,119551
02-09-2025,108.0088,SBI_Bluechip,119551
01-09-2025,108.0373,SBI_Bluechip,119551
29-08-2025,108.0297,SBI_Bluechip,119551
28-08-2025,108.066,SBI_Bluechip,119551
26-08-2025,107.9266,SBI_Bluechip,119551
25-08-2025,108.1037,SBI_Bluechip,119551
22-08-2025,108.1096,SBI_Bluechip,119551
21-08-2025,108.0985,SBI_Bluechip,119551
20-08-2025,108.0899,SBI_Bluechip,119551
19-08-2025,108.0083,SBI_Bluechip,119551
18-08-2025,108.1271,SBI_Bluechip,119551
