date,nav,scheme_name,scheme_code
01-06-2026,192.3195,HDFC_Top100_Direct,125497
31-05-2026,193.6836,HDFC_Top100_Direct,125497
29-05-2026,193.6848,HDFC_Top100_Direct,125497
27-05-2026,195.0501,HDFC_Top100_Direct,125497
26-05-2026,194.2258,HDFC_Top100_Direct,125497
25-05-2026,193.5599,HDFC_Top100_Direct,125497
22-05-2026,192.1227,HDFC_Top100_Direct,125497
21-05-2026,191.7575,HDFC_Top100_Direct,125497
20-05-2026,189.8661,HDFC_Top100_Direct,125497
19-05-2026,189.5553,HDFC_Top100_Direct,125497
18-05-2026,187.9126,HDFC_Top100_Direct,125497
15-05-2026,190.2405,HDFC_Top100_Direct,125497
14-05-2026,189.9345,HDFC_Top100_Direct,125497
13-05-2026,190.464,HDFC_Top100_Direct,125497
12-05-2026,190.6152,HDFC_Top100_Direct,125497
11-05-2026,195.586,HDFC_Top100_Direct,125497
08-05-2026,196.8821,HDFC_Top100_Direct,125497
07-05-2026,197.4753,HDFC_Top100_Direct,125497
06-05-2026,196.0036,HDFC_Top100_Direct,125497
05-05-2026,194.5618,HDFC_Top100_Direct,125497
04-05-2026,195.4469,HDFC_Top100_Direct,125497
30-04-2026,193.4131,HDFC_Top100_Direct,125497
29-04-2026,194.1523,HDFC_Top100_Direct,125497
28-04-2026,193.4843,HDFC_Top100_Direct,125497
27-04-2026,193.8317,HDFC_Top100_Direct,125497
24-04-2026,191.0425,HDFC_Top100_Direct,125497
23-04-2026,193.0317,HDFC_Top100_Direct,125497
22-04-2026,194.1928,HDFC_Top100_Direct,125497
21-04-2026,192.6397,HDFC_Top100_Direct,125497
20-04-2026,191.0583,HDFC_Top100_Direct,125497
17-04-2026,190.5242,HDFC_Top100_Direct,125497
16-04-2026,188.3316,HDFC_Top100_Direct,125497
15-04-2026,187.2786,HDFC_Top100_Direct,125497
13-04-2026,184.3491,HDFC_Top100_Direct,125497
10-04-2026,184.6967,HDFC_Top100_Direct,125497
09-04-2026,181.2455,HDFC_Top100_Direct,125497
08-04-2026,180.5783,HDFC_Top100_Direct,125497
07-04-2026,174.8342,HDFC_Top100_Direct,125497
06-04-2026,174.9151,HDFC_Top100_Direct,125497
02-04-2026,173.8471,HDFC_Top100_Direct,125497
01-04-2026,173.782,HDFC_Top100_Direct,125497
31-03-2026,169.3706,HDFC_Top100_Direct,125497
30-03-2026,169.3708,HDFC_Top100_Direct,125497
27-03-2026,172.4739,HDFC_Top100_Direct,125497
25-03-2026,175.4211,HDFC_Top100_Direct,125497
24-03-2026,172.0049,HDFC_Top100_Direct,125497
23-03-2026,169.1091,HDFC_Top100_Direct,125497
20-03-2026,174.6205,HDFC_Top100_Direct,125497
19-03-2026,173.9004,HDFC_Top100_Direct,125497
18-03-2026,177.4908,HDFC_Top100_Direct,125497
17-03-2026,174.0628,HDFC_Top100_Direct,125497
16-03-2026,173.8198,HDFC_Top100_Direct,125497
13-03-2026,173.9754,HDFC_Top100_Direct,125497
12-03-2026,177.9888,HDFC_Top100_Direct,125497
11-03-2026,178.3891,HDFC_Top100_Direct,125497
10-03-2026,178.8419,HDFC_Top100_Direct,125497
09-03-2026,175.7742,HDFC_Top100_Direct,125497
06-03-2026,178.9784,HDFC_Top100_Direct,125497
05-03-2026,179.3239,HDFC_Top100_Direct,125497
04-03-2026,177.9961,HDFC_Top100_Direct,125497
02-03-2026,181.3175,HDFC_Top100_Direct,125497
28-02-2026,184.7579,HDFC_Top100_Direct,125497
27-02-2026,184.7581,HDFC_Top100_Direct,125497
26-02-2026,186.095,HDFC_Top100_Direct,125497
25-02-2026,186.0488,HDFC_Top100_Direct,125497
24-02-2026,186.208,HDFC_Top100_Direct,125497
23-02-2026,187.5721,HDFC_Top100_Direct,125497
20-02-2026,186.2228,HDFC_Top100_Direct,125497
19-02-2026,186.6666,HDFC_Top100_Direct,125497
18-02-2026,188.2128,HDFC_Top100_Direct,125497
17-02-2026,187.6437,HDFC_Top100_Direct,125497
16-02-2026,185.8471,HDFC_Top100_Direct,125497
13-02-2026,187.236,HDFC_Top100_Direct,125497
12-02-2026,189.6029,HDFC_Top100_Direct,125497
11-02-2026,189.7464,HDFC_Top100_Direct,125497
10-02-2026,189.019,HDFC_Top100_Direct,125497
